,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
146,2011-01-26,24.2366228877218,24.52988883692094,23.43576358485855,23.941018848553902,1224452.4061130928,0.0,1.0,24.71,24.88,24.1,24.75,1079900.0
147,2011-01-27,24.218373555229178,24.461403868430814,23.50009277186047,23.997016444343434,1011885.9051804277,0.0,1.0,24.74,25.08,24.53,24.92,895700.0
148,2011-01-28,24.20506717615922,24.404854484496344,23.56746857692717,24.056211270106374,832232.3480070835,0.0,1.0,24.88,24.88,23.75,24.01,1048400.0
149,2011-01-31,24.19856138334131,24.36674103922219,23.635523409551347,24.115632126902906,693250.0986539114,0.0,1.0,24.05,24.12,23.5,24.1,830300.0
150,2011-02-01,24.177004263239848,24.334220231557875,23.669451761296973,24.141855351109026,629353.1337207208,0.0,1.0,24.31,24.73,23.54,23.91,707800.0
151,2011-02-02,24.120559267715688,24.296265832186123,23.636880883383828,24.103695970185314,674316.6230424484,0.0,1.0,24.16,24.18,23.669,23.94,569500.0
152,2011-02-03,24.036686661342575,24.255574465170405,23.550087817536635,24.01348588084158,810129.784752011,0.0,1.0,23.82,23.9,23.15,23.63,512000.0
153,2011-02-04,23.934495113603656,24.21229443601443,23.42755316439961,23.889737986313964,1003625.5681122057,0.0,1.0,23.44,23.67,23.22,23.46,544000.0
154,2011-02-07,23.83147107611315,24.178892567027003,23.29295299209576,23.755312828685586,1236397.33430683,0.0,1.0,23.26,23.26,22.88,23.07,895100.0
155,2011-02-08,23.749509355522513,24.1706621992756,23.176536627175082,23.63949628975194,1483700.2889223965,0.0,1.0,23.78,25.25,23.0,24.49,3504900.0
156,2011-02-09,23.67726381362833,24.17007965768175,23.07170432283934,23.536114482065244,1720375.3558097957,0.0,1.0,24.13,24.18,22.79,23.21,2635600.0
157,2011-02-10,23.596668833414995,24.1551258850745,22.962062908987782,23.429266507674754,1930216.281314458,0.0,1.0,23.26,23.64,22.81,23.215,836100.0
158,2011-02-11,23.50627043907853,24.11620089016399,22.853772361928165,23.325843422145656,2080351.7177119805,0.0,1.0,23.25,23.75,22.94,23.25,634500.0
159,2011-02-14,23.401412217170996,24.040742654929765,22.749458874660792,23.229176917564356,2138430.614657891,0.0,1.0,23.64,24.14,23.05,23.08,1283100.0
160,2011-02-15,23.28779255715586,23.936516694815168,22.651995245488095,23.141208104200064,2116608.510301132,0.0,1.0,23.01,23.17,22.56,22.84,953700.0
161,2011-02-16,23.18336850864788,23.826684667490753,22.57402035735152,23.073484694799976,2041046.6844673343,0.0,1.0,23.1,24.97,23.0701,24.73,4115100.0
162,2011-02-17,23.077018640171712,23.702903606550958,22.500577382217653,23.009850802744015,1923586.9249866477,0.0,1.0,24.63,25.49,23.55,23.6,2618400.0
163,2011-02-18,22.957304094463417,23.557663918627192,22.415065343064928,22.932237111955754,1781645.720251267,0.0,1.0,23.33,23.49,22.96,23.18,2370700.0
